university,country,example_url
Centre Universitaire de Jijel,Algeria,https://elearning.univ-jijel.dz/course/view.php?id=1924
Université de Blida,Algeria,https://www.univ-blida.dz/wp-content/uploads/2025/11/Amendement-formation-Master-SSI_2024.pdf
Universidad Nacional de Avellaneda,Argentina,https://play.google.com/store/apps/details?id=androit.nativokotlinyjava&hl=en_US&referrer=utm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_term%3Dkotlin+undav.edu.ar
Universidad Nacional de La Plata,Argentina,https://www.info.unlp.edu.ar/wp-content/uploads/2026/02/Seminario-de-Lenguajes-opcion-Android-2026.pdf
Universidad Nacional de la Patagonia Austral,Argentina,https://www.uaco.unpa.edu.ar/convocatoria-abierta-para-una-beca-uaco-2025-grupo-investigacion-y-formacion
Universidad Nacional del Sur,Argentina,https://cs.uns.edu.ar/~ece/ads/downloads/Practica/Kotlin1.pdf
Universidad Tecnológica Nacional,Argentina,https://campus.mdp.utn.edu.ar/course/view.php?id=986
American University of Armenia,Armenia,https://newsroomarchive.aua.am/event/decompiling-kotlin-generated-classes/
Flinders University of South Australia,Australia,https://handbook.flinders.edu.au/topics/2026/COMP2012
Fachhochschule JOANNEUM,Austria,https://www.fh-joanneum.at/it-und-mobile-security/master/en/my-studies/curriculum/
Johannes Kepler Universität Linz,Austria,https://ssw.jku.at/General/Staff/Weninger/BSC/2025_KotlinOpenTelemetryPlugin-Schoenberger/Topic.pdf
Qafqaz University,Azerbaijan,https://qu.edu.az/en/introduction-multi-platform-programming
American International University - Bangladesh,Bangladesh,https://www.aiub.edu/faculties/fst/ug-course-catalog
Brest State Technical University,Belarus,https://ipk.bstu.by/courses/kotlin-for-java-developers/
Hogeschool Gent,Belgium,https://www.hogent.be/sites/hogent/assets/File/DIT%20Short%20description%20International%20Curriculum%202021-22%20DIT.pdf
Pontifícia Universidade Católica de Minas Gerais,Brazil,https://www.pucminas.br/PucVirtual/Pos-Graduacao/Documents/DesenvolvimentoMobile.pdf
Pontifícia Universidade Católica do Rio Grande do Sul,Brazil,https://portal.pucrs.br/en/news/education/Summer-and-intensive-language-courses-are-now-open-for-registration/
Universidade Federal de Ouro Preto,Brazil,https://professor.ufop.br/sites/default/files/santostf/files/cv-english_0.pdf
Universidade Federal de Pernambuco,Brazil,https://www.cin.ufpe.br/~tg/2022-1/tg_CC/tg_lccao.pdf
Universidade Federal do Ceará,Brazil,https://repositorio.ufc.br/bitstream/riufc/82804/1/2025_tcc_gcsilva.pdf
Technical University of Sofia,Bulgaria,https://tu-sofia.bg/department/preview/27?dep_id=90
Sheridan College,Canada,https://www.sheridancollege.ca/programs/computer-systems-technology-software-development-and-network-engineering
Vancouver Community College,Canada,https://www.vcc.ca/courses/cstp-2250/
Universidad de Los Andes,Colombia,https://repositorio.uniandes.edu.co/bitstreams/4879e949-0e9b-49b4-9837-61fe2517c186/download
University of Economics Prague,Czech Republic,https://vskp.vse.cz/75835_transformace-android-aplikace-z-javy-do-kotlinu??page=101
University of South Bohemia,Czech Republic,https://www.frov.jcu.cz/images/FROV/FROV-EN/documents/deans-measure/decision_of_dean_15_2013.pdf
IT University of Copenhagen,Denmark,https://en.itu.dk/Programmes/International-students/Exchange-students/Course-list/
University of Copenhagen,Denmark,https://di.ku.dk/english/events/event-calendar-2026/coplas-talk-systems-and-programming-languages/
Arab Academy for Science & Technology,Egypt,https://aast.edu/en/training-courses/trainingcourse.php?course=4T4477
Universidad Capitain General Gerardo Barrios,El Salvador,https://ugb.edu.sv/wp-content/download/pdf/catalogo2023.pdf
Diaconia University of Applied Sciences,Finland,https://opinto-opas.diak.fi/realization/C-10065-TT00EM36-3039?lang=en
Metropolia University of Applied Sciences,Finland,https://www.metropolia.fi/en/study-at-metropolia/open-university/nonstop-virtual-studies-information-and-communication-technology
Central Supélec,France,https://wdi.centralesupelec.fr/3IF1020/downloads/Main/ConceptsLangagesProgrammation.pdf
Ecole Nationale Supérieure des Mines de St-Etienne,France,https://ecampus.emse.fr/course/index.php?categoryid=151&lang=en
Ecole Normale Supérieure de Paris,France,https://git.eleves.ens.fr/qaristote/kotlin-compiler
Université de Strasbourg,France,https://formations.unistra.fr/fr/formations/licence-LIG/licence-informatique-ME6/informatique-PR9/ue-informatique-LJGXIKH8/programmation-mobile-EN26112.html
