University Title Aissms	City	Country	Teaching Kotlin			
Aalto University	Espoo	Finland	Introduction to the the Kotlin programming language			
AARHUS GYMNASIUM	Aarhus	Denmark	Kotlin development 			
Aarhus University	Aarhus	Denmark	CMSC 436: Programming Handheld Systems			
Aberystwyth University	Aberystwyth	UK	CS31620 Mobile Development with Android			
AGH University of Science and Technology	Krakow	Poland	Object-Oriented Programming			
Al-Farabi Kazakh National University	Almaty	Kazakhstan	Object-oriented programming 4			
Altai State University	Barnaul	Russia	Разработка кроссплатформенных мобильных приложений			
American University of Beirut	Beirut	Lebanon	CMPS 279. Mobile Applications Development			
American University of Sharjah	Sharjah	United Arab Emirates	CMP 354 –Mobile Application Development			
Amirkabir University of Technology	Tehran	Iran	Mobile Programming course			
Amity University	Noida	India	KOTLIN			
Ammersee-Gymnasium	Munich	Germany	Informatik mit Kotlin			
Amrita Vishwa Vidyapeetham	Coimbatore	India	23CSE460 FEATURES IN MODERN PROGRAMMING LANGUAGES			
Amsterdam University of Applied Sciences (AUAS)	Amsterdam	The Netherlands	MOBILE DEVELOPMENT			
Anna University	Chennai	India	CCS332 APP DEVELOPMENT			
Annamalai University	Chidambaram	India	Kotlin for Android App Development			
Appalachian State University 	Boone, NC	USA	"CSCI	4540:	Mobile	Computing"			
Arizona State University	Tempe, AZ	US	CIS265DA Advanced Android Application Development			
Astana International University 	Astana	Kazakhstan	Kotlin Start вместе с Jusan Singularity			
Athens University of Economics and Business	Athens	Greece	Mobile programming (Kotlin for Android & Swift for IOS)			
ATMIYA University	Rajkot	India	20MCACC302 - Mobile App Development using Android in Kotlin 			
Autonomous University of Madrid	Madrid	Spain	18771 - DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MÓVILES			
Avans University of Applied Sciences - Avans Hogeschool	Breda	Netherlands	Full stack development met Android			
Babeş-Bolyai University	Cluj-Napoca	Romania	Mobile Applications			
Baku Higher Oil School 	Baku	Azerbaijan	Mobile Development and Security			
Bandung Institute of Technology (ITB)	Bandung	Indonesia	IF3210 Mobile App Development			
Bar-Ilan University	Ramat Gan	Israel	Application development course			
Başkent University	Ankara	Turkey	ANDROID GAME PROGRAMMING			
Bauman Moscow State Technical University	Moscow	Russia	Разработка Android приложений на Kotlin			
Baylor University	Waco, TX	US	CSI 4144: Competitive Learning			
Beijing Institute of Technology	Beijing	China	Android programming			
Belarusian State University	Minsk	Belarus	Разработка приложений под Android			
Bennett University	Greater Noida	India	Android Development with Kotlin (CSET492)			
Bern University of Applied Sciences	Bern	Switzerland	BTI1002 - Programming 1 with Kotlin			
Bialystok University of Technology	Bialystok	Poland	Mobile Systems			
Bilkent University	Ankara	Turkey	CTIS 487 Mobile Application Development			
