source,category,signal_tier,learning_type,title,provider,country,language,subtype,popularity,kotlin_confidence,url
university_website,university_page,primary,formal,Kotlin: A modern and expressive programming language for everyone,Constructor University,Germany,,article,,0.8,https://constructor.university/blog/kotlin-programming-language
university_website,university_page,primary,formal,Webinar: Building your future in IT - Hidden Secrets of Kotlin ...,Constructor University,Germany,,,,0.8,https://constructor.university/events/sdt-webinar-february
university_website,university_page,secondary,formal,Blog | Constructor University,Constructor University,Germany,,,,0.4,https://constructor.university/blog?page=0
university_website,university_page,primary,formal,Thank you for completing your registration for the BSc SDT test,Constructor University,Germany,,,,0.8,https://constructor.university/event-thank-you-bsc-sdt-test-registration
university_website,university_page,primary,formal,Advanced Software Technology Career | Constructor University,Constructor University,Germany,,,,0.8,https://constructor.university/programs/graduate-education/advanced-software-technology/ast-career-perspectives
university_website,university_page,primary,formal,Search - constructor.university,Constructor University,Germany,,,,0.8,https://constructor.university/search?page=2&search_api_fulltext=HateBERT%3A+Retraining+BERT+for+Abusive+Language+Detection+in+English
university_website,university_page,primary,formal,Anton Podkopaev | Constructor University,Constructor University,Germany,,,,0.8,https://constructor.university/faculty-member/anton-podkopaev
university_website,university_page,primary,formal,Algorithm and Code Training School Serbia | Constructor University,Constructor University,Germany,,,,0.8,https://constructor.university/talent-school/algorithm-and-code-training-school
university_website,university_page,primary,formal,Programming and Software Development - Admission Nusa Putra University,Universitas Nusa Putra,Indonesia,,,,0.8,https://admission.nusaputra.ac.id/major/programming-and-software-development
university_website,university_page,secondary,formal,Pemrograman dan Pengembangan Perangkat Lunak - Admission Nusa Putra ...,Universitas Nusa Putra,Indonesia,,,,0.4,https://admission.nusaputra.ac.id/major/pemrograman-dan-pengembangan-perangkat-lunak
university_website,university_page,primary,formal,Jurnal Restikom : Riset Teknik Informatika dan Komputer ISSN 2686-4797 ...,Universitas Nusa Putra,Indonesia,,article,,0.8,https://restikom.nusaputra.ac.id/article/download/471/219
university_website,university_page,secondary,formal,Pengembangan Aplikasi Mobile Portal Akademik (MyCIC) dengan Pendekatan ...,Universitas Nusa Putra,Indonesia,,article,,0.4,https://restikom.nusaputra.ac.id/index.php/restikom/article/view/471
university_website,university_page,primary,formal,PDF Perancangan Aplikasi Mobile Sig Untuk Pemantauan Sebaran Penyakit Di ...,Universitas Nusa Putra,Indonesia,,document,,0.8,https://www.repository.nusaputra.ac.id/id/eprint/1309/1/MUHAMMAD%20RIFQI%20DARMAWAN%20.pdf
university_website,university_page,secondary,formal,Perancangan Sistem Peminjaman Buku Perpustakaan Mdta Attawakkal Dengan ...,Universitas Nusa Putra,Indonesia,,article,,0.4,https://restikom.nusaputra.ac.id/article/download/68/39
university_website,university_page,primary,formal,PDF Report of Seminar on Flutter & Dart (07_01_2023),Atharva College of Engineering,India,,document,,0.8,https://atharvacoe.ac.in/wp-content/uploads/Report-of-Seminar-on-Flutter-Dart-07_01_2023.docx.pdf
university_website,university_page,secondary,formal,Licenses Logiciels - INSA Toulouse,National Institute of Applied Sciences of Toulouse,France,,,,0.4,https://wiki.etud.insa-toulouse.fr/books/licenses-logiciels/export/html
university_website,university_page,secondary,formal,JetBrains | WikEtud,National Institute of Applied Sciences of Toulouse,France,,,,0.4,https://wiki.etud.insa-toulouse.fr/books/licenses-logiciels/page/jetbrains
university_website,university_page,primary,formal,PDF Concepts des langages de programmation Mise en œuvre en C/C++,Central Supélec,France,,document,,0.8,https://wdi.centralesupelec.fr/3IF1020/downloads/Main/ConceptsLangagesProgrammation.pdf
university_website,university_page,primary,formal,Workshop & Expert Lectures - DAV Institute of Engineering and Technology,DAV Institute of Engineering & Technology,India,,,,0.8,https://davietjal.org/workshop-expert-lectures
university_website,university_page,primary,formal,Departmental Activities - DAV Institute of Engineering and Technology,DAV Institute of Engineering & Technology,India,,,,0.8,https://davietjal.org/departments/ug/computer-science-engineering/departmental-activities
university_website,university_page,primary,formal,PDF Prospectus Title Front and Front Back -2023 Final Last,DAV Institute of Engineering & Technology,India,,document,,0.8,https://davietjal.org/wp-content/uploads/2024/03/DAVIET-Prospectus-2023.pdf
